Course Name,Course Code,Modality,Standard Course Hours,Developer,Target Start Date,Actual Start Date,Target Finish Date,Actual Finish Date,Phase,Risk Status,Course Status Notes,Product,Value Stream
Supply Chain: PO Approval Delegation of Authority (Workflow Approvals),868dq85zj,WBT,0.5,ISG,7/21/25,,8/15/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Supply Chain: PO Edit Checks,868a2v6bk,WBT,0.5,ISG,7/14/25,,8/8/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Supply Chain: PO Expediting (Expedite Fee Process),868a2v8me,WBT,0.5,ISG,7/14/25,,8/8/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Supply Chain: Purchase Order Close Out,868a2v9g6,WBT,0.5,ISG,7/14/25,,8/8/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Supply Chain: Purchase Order Monitoring,868a2v67p,ILT,1,ISG,7/14/25,,8/8/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Supply Chain: Purchase Requisition Handover,868a2v87r,WBT,0.5,ISG,7/21/25,,8/15/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Supply Chain: Returning Hardware to Suppliers,868dq51yw,WBT,0.5,ISG,7/21/25,,8/15/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Supply Chain: Schedule Management,868dpzyte,WBT,0.5,ISG,7/21/25,,8/15/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Supply Chain: Service Procurement (Inc. Contingent Labor),868c0w8mu,WBT,0.5,ISG,6/30/25,,7/25/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Supply Chain: Source Inspections & Monitoring,868c0vw6a,WBT,0.5,ISG,7/14/25,,8/8/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Supply Chain: Sourcing Events (RFX Processing & Award),868a2v7cy,WBT,0.5,ISG,7/14/25,,8/8/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Supply Chain: Supplier Capacity,868a2v7ac,ILT,1,ISG,6/9/25,,7/4/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Supply Chain: Supplier Qualification & Onboarding,868c190nq,ILT,1,ISG,6/30/25,,7/25/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Prod Ops: Managing Exception Message,868ckw8e1,WBT,0.5,ISG,4/28/25,3/17/25,3/28/25,,Final Approval,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PTS
Prod Ops: Outbound Delivery Creation & Processing,868auyu08,ILT,1,ISG,4/28/25,11/13/24,3/28/25,,Final Approval,Behind Schedule,SME Time Needed,OpenText Content Server (xECM); SAP S/4 HANA,PTS
DYNSCH: Intro to Dynamic Scheduling,868bd3171,WBT,0.5,ISG,4/28/25,4/7/25,5/23/25,,Alpha Development,Behind Schedule,Backlog from other delayed courses,SAP S/4 HANA;Advanced Planning and Scheduling (APS),PTS
Prod Ops: Perform Customer Selloff,868ca0z4d,WBT,0.5,ISG,4/28/25,4/7/25,5/23/25,,Alpha Review,Behind Schedule,Backlog from other delayed courses,OpenText Content Server (xECM); SAP S/4 HANA,PTS
Prod Ops: Advanced Demand Load for Repairs/Spares,868c22e2z,WBT,0.5,ISG,5/5/25,,5/30/25,,Design,Behind Schedule,Script Not Available,SAP S/4 HANA,PTS
Prod Ops: Create Cycle Counts,868c21xct,WBT,0.5,ISG,5/5/25,5/12/25,5/30/25,,Alpha Review,Behind Schedule,SME Time Needed,SAP S/4 HANA,PTS
Prod Ops: Import Validations,868c21jwr,ILT,1,ISG,5/5/25,5/9/25,5/30/25,,Design,Behind Schedule,Paused due to Curriculum redesign,SAP S/4 HANA,PTS
Prod Ops: Planning Execution,868a4yd19,WBT,0.5,ISG,5/5/25,5/12/25,5/30/25,,Alpha Review,Behind Schedule,SME Time Needed,SAP S/4 HANA,PTS
Prod Ops: Production Kitting,868a2v6y8,Video,0.1,ISG,5/5/25,,5/30/25,,Design,Behind Schedule,Script Not Available,SAP S/4 HANA,PTS
Prod Ops: Supplier Shipment Management,868c21ynv,WBT,0.5,ISG,5/5/25,5/12/25,5/30/25,,Alpha Review,Behind Schedule,SME Time Needed,SAP S/4 HANA,PTS
Prod Ops: Demand Authorization,868c22jvb,WBT,0.5,ISG,5/19/25,,6/13/25,,Not Started,Behind Schedule,Backlog from other delayed courses,SAP S/4 HANA,PTS
Prod Ops: Perform Production Planning & Master Scheduling,868c22er9,WBT,0.5,ISG,5/19/25,,6/13/25,,Design,Behind Schedule,Paused due to Curriculum redesign,SAP S/4 HANA,PTS
Prod Ops: Planning Strategy,868c22m3x,QRG,0.1,ISG,5/19/25,6/2/25,6/13/25,,Alpha Development,Behind Schedule,Backlog from other delayed courses,SAP S/4 HANA,PTS
Prod Ops: Production Picking,868a2v69w,Video,0.1,ISG,5/19/25,,6/13/25,,Not Started,Behind Schedule,Backlog from other delayed courses,SAP S/4 HANA,PTS
Prod Ops: Review & Finalize Master Schedule,868a2v9ne,QRG,0.1,ISG,5/19/25,11/4/24,6/13/25,,Design,Behind Schedule,Paused due to Curriculum redesign,SAP S/4 HANA,PTS
Prod Ops: Compliance Checks,868b4668z,ILT,1,ISG,6/9/25,,7/4/25,,Not Started,On Track,,SAP S/4 HANA,PTS
Prod Ops: Deliver Incoming & Resolve Grief,868b466gk,ILT,1,ISG,6/9/25,,7/4/25,,Not Started,On Track,,SAP S/4 HANA,PTS
Prod Ops: Kits & Fabrication Orders,868b4675x,WBT,0.5,ISG,6/9/25,,7/4/25,,Not Started,On Track,,SAP S/4 HANA,PTS
Prod Ops: Manage Internal Transportation,868b45fyx,Video,0.1,ISG,6/9/25,,7/4/25,,Not Started,On Track,,SAP S/4 HANA,PTS
Prod Ops: Perform Cycle Count,868b45hfr,ILT,1,ISG,6/9/25,,7/4/25,,Not Started,On Track,,SAP S/4 HANA,PTS
Prod Ops: Pick Material,868b472hj,ILT,1,ISG,6/9/25,,7/4/25,,Not Started,On Track,,SAP S/4 HANA,PTS
Prod Ops: Prepare for Kitting,868b472qk,ILT,1,ISG,6/9/25,,7/4/25,,Not Started,On Track,,SAP S/4 HANA,PTS
Prod Ops: Production Kitting: Reconcile Inventory ,868b47336,ILT,1,ISG,6/9/25,,7/4/25,,Not Started,On Track,,SAP S/4 HANA,PTS
Prod Ops: Production Staging,868b473jm,ILT,1,ISG,6/9/25,,7/4/25,,Not Started,On Track,,SAP S/4 HANA,PTS
"Prod Ops: Purchase Order, New Order or Repair Order Service Order",868b45crm,Video,0.1,ISG,6/9/25,,7/4/25,,Design,Behind Schedule,Paused due to Curriculum redesign,SAP S/4 HANA,PTS
Prod Ops: Create & Release Purchase Requisition,868c20v4g,QRG,0.1,ISG,7/14/25,,8/8/25,,Not Started,On Track,,SAP S/4 HANA,PTS
Prod Ops: Order Creation & Release,868cjxf2u,WBT,0.5,ISG,7/14/25,,8/8/25,,Not Started,On Track,,SAP S/4 HANA,PTS
DYNSCH: Plant Admin,868ck6vxz,WBT,0.5,ISG,7/21/25,,8/15/25,,Not Started,On Track,,SAP S/4 HANA;Advanced Planning and Scheduling (APS),PTS
DYNSCH: Production Scheduling Mgmt,868adh3z8,ILT,1,ISG,7/21/25,,8/15/25,,Not Started,On Track,,SAP S/4 HANA;Advanced Planning and Scheduling (APS),PTS
DYNSCH: Publish Production Schedule,868adnbcd,ILT,1,ISG,7/21/25,,8/15/25,,Not Started,On Track,,SAP S/4 HANA;Advanced Planning and Scheduling (APS),PTS
DYNSCH: Review Training & Operations,868adn6k2,ILT,1,ISG,7/21/25,,8/15/25,,Not Started,On Track,,SAP S/4 HANA;Advanced Planning and Scheduling (APS),PTS
DYNSCH: Validate Working Time,868adh4yw,ILT,1,ISG,7/21/25,,8/15/25,,Not Started,On Track,,SAP S/4 HANA;Advanced Planning and Scheduling (APS),PTS
Prod Ops: Apply Mapping Data: Mapping Data applied to S/4 fields/defaults,868b3zzx6,QRG,0.1,ISG,7/21/25,,8/15/25,,Not Started,On Track,,SAP S/4 HANA,PTS
Prod Ops: Create Material Master Record and Views,868b3zqc6,WBT,0.5,ISG,7/21/25,,8/15/25,,Not Started,On Track,,SAP S/4 HANA,PTS
Prod Ops: Create Material Master Views Based on Material Type,868b3zyfd,QRG,0.1,ISG,7/21/25,,8/15/25,,Not Started,On Track,,SAP S/4 HANA,PTS
Prod Ops: Create Network,868b48mpk,WBT,0.5,ISG,7/21/25,5/12/25,8/15/25,,Alpha Review,On Track,,SAP S/4 HANA,PTS
Prod Ops: Execute Material Master (Extend material master to org structures),868b40u6z,QRG,0.1,ISG,7/21/25,,8/15/25,,Not Started,On Track,,SAP S/4 HANA,PTS
Prod Ops: Generate Workflows,868c20ft9,QRG,0.1,ISG,7/21/25,,8/15/25,,Not Started,On Track,,SAP S/4 HANA,PTS
Prod Ops: Network Demand Load,868c22f8d,WBT,0.5,ISG,7/21/25,,8/15/25,,Not Started,On Track,,SAP S/4 HANA,PTS
"Prod Ops: Sales Orders Demand, pt I",868b47449,ILT,1,ISG,7/21/25,,8/15/25,,Not Started,On Track,,SAP S/4 HANA,PTS
DYNSCH: Dynamic Parameter Reporting & Analytics,868adh336,WBT,0.5,ISG,7/28/25,,8/22/25,,Not Started,On Track,,SAP S/4 HANA;Advanced Planning and Scheduling (APS),PTS
Prod Ops: Fulfillment Management,868cqq9yc,WBT,0.5,ISG,7/28/25,,8/22/25,,Not Started,On Track,,SAP S/4 HANA,PTS
Cost Accounting: Review & Correct Financial Postings,868bz04pc,WBT,0.5,ISG,7/21/25,,8/15/25,,Not Started,On Track,,SAP S/4 HANA,R2R
Financial Accounting: Cash Document Matching,868byyvc5,WBT,0.5,ISG,7/21/25,,8/15/25,,Not Started,On Track,,SAP S/4 HANA,R2R
Financial Accounting: Maintain Chart of Accounts,868byzf1v,WBT,0.5,ISG,5/5/25,5/15/25,5/30/25,,Design,Behind Schedule,Paused due to Curriculum redesign,SAP S/4 HANA,R2R
Financial Accounting: Order and Backlog Adjustments,868e1aw82,WBT,0.5,ISG,5/19/25,5/23/25,6/13/25,,Alpha Development,On Track,,SAP S/4 HANA,R2R
Financial Accounting: Revenue Recognition,868byybuu,WBT,0.5,ISG,5/5/25,5/15/25,5/30/25,,Alpha Development,Behind Schedule,Script Redesign,SAP S/4 HANA,R2R
Financial Accounting: Review General Ledger Balances,868byzkmp,WBT,0.5,ISG,5/19/25,,6/13/25,,Not Started,Behind Schedule,Development not started,SAP S/4 HANA,R2R
Financial Accounting: Run Preliminary Reports,868byygr4,WBT,0.5,ISG,4/28/25,3/3/25,3/28/25,,Design,Behind Schedule,Paused due to Curriculum redesign,SAP S/4 HANA,R2R
Financial Accounting: Settle Costs/ Revenues,868byye4b,WBT,0.5,ISG,5/5/25,5/15/25,5/30/25,,Alpha Development,Behind Schedule,SME Time Needed,SAP S/4 HANA,R2R
Financial Accounting: AR/AP Grouping,868byz09n,WBT,0.5,ISG,4/28/25,4/4/25,5/23/25,4/30/25,Complete,On Track,Development Complete,SAP S/4 HANA,R2R
Financial Accounting: Create and Manage Online Journal Entries,868byykmv,WBT,0.5,ISG,4/28/25,2/26/25,3/28/25,5/21/25,Complete,Behind Schedule,Development Complete,SAP S/4 HANA,R2R
Financial Accounting: Create Recurring Document,868e1p7kj,WBT,0.5,ISG,1/16/25,1/31/25,3/28/25,5/21/25,Complete,Behind Schedule,Development Complete,SAP S/4 HANA,R2R
Financial Accounting: G/L Account Clearing,868byyyz1,WBT,0.5,ISG,4/21/25,4/4/25,3/28/25,5/7/25,Complete,Behind Schedule,Development Complete,SAP S/4 HANA,R2R
Financial Accounting: Perform Currency Valuation,868byzd6q,WBT,0.5,ISG,4/14/25,2/17/25,3/28/25,4/30/25,Complete,Behind Schedule,Development Complete,SAP S/4 HANA,R2R
Financial Accounting: Process Open Items and Manage Periods,868byywxb,WBT,0.5,ISG,4/28/25,2/5/25,3/28/25,5/12/25,Complete,Behind Schedule,Development Complete,SAP S/4 HANA,R2R
Financial Accounting: Review Financial Postings,868byzhda,WBT,0.5,ISG,4/21/25,3/4/25,3/28/25,5/6/25,Complete,Behind Schedule,Development Complete,SAP S/4 HANA,R2R
Financial Accounting: Year-End Close: Balance Carry Forward,868byz2cz,WBT,0.5,ISG,4/14/25,3/4/25,3/28/25,4/30/25,Complete,Behind Schedule,Development Complete,SAP S/4 HANA,R2R
Product Costing: Maintain PMMO Master Data,868bz079f,WBT,0.5,ISG,4/28/25,4/4/25,5/23/25,5/21/25,Complete,On Track,Development Complete,SAP S/4 HANA,R2R
Tax Accounting: Generate Ad Hoc Tax Fixed Asset Reports,868bytq3p,WBT,0.5,ISG,4/14/25,3/4/25,3/28/25,4/25/25,Complete,Behind Schedule,Development Complete,SAP S/4 HANA,R2R
Tax Accounting: Indirect Taxes: Manage Property Taxes,868bzx1ac,WBT,0.5,ISG,4/14/25,2/25/25,3/28/25,4/30/25,Complete,Behind Schedule,Development Complete,SAP S/4 HANA,R2R
Tax Accounting: Indirect Taxes: Manage Tax Fixed Assets Reporting,868bzx9bf,WBT,0.5,ISG,4/14/25,2/26/25,3/28/25,5/1/25,Complete,Behind Schedule,Development Complete,SAP S/4 HANA,R2R
Tax Accounting: Review Withholding Tax Information on BP Records,868bzwb0b,WBT,0.5,ISG,10/1/24,1/23/25,3/28/25,4/24/25,Complete,Behind Schedule,Development Complete,SAP S/4 HANA,R2R
Tax Accounting: Withholding Tax for Accounts Receivable,868bz4uju,WBT,0.5,ISG,10/1/24,1/15/25,3/28/25,4/24/25,Complete,Behind Schedule,Development Complete,SAP S/4 HANA,R2R
Tax Accounting: Withholding Tax on Procurement Invoices,868bywewc,WBT,0.5,ISG,10/1/24,1/23/25,3/28/25,4/24/25,Complete,Behind Schedule,Development Complete,SAP S/4 HANA,R2R
Product Costing: Distribute & Analyze Cost/Execute & Analyze Pegging,868bz0e5k,WBT,0.5,ISG,5/19/25,,6/13/25,,Not Started,Behind Schedule,Development not started,SAP S/4 HANA,R2R
Product Costing: Introduction to PMMO,868bz063a,WBT,0.5,ISG,4/28/25,4/8/25,5/23/25,,Beta Development,Behind Schedule,SME Time Needed,SAP S/4 HANA,R2R
Product Costing: Manage Exceptions,868bz0g2b,WBT,0.5,ISG,5/5/25,5/7/25,5/30/25,,Beta Review,Behind Schedule,SME Time Needed,SAP S/4 HANA,R2R
Product Costing: Reporting,868bz0j3r,WBT,0.5,ISG,5/19/25,,6/13/25,,Not Started,Behind Schedule,Script Not Available,SAP S/4 HANA,R2R
Tax Accounting: Defend Indirect Tax Audit,868byrubk,WBT,0.5,ISG,5/19/25,4/14/25,6/13/25,,Alpha Review,On Track,,SAP S/4 HANA,R2R
Tax Accounting: Indirect Tax Corrections (PO and SD Invoices),868byrx87,WBT,0.5,ISG,4/28/25,4/16/25,5/23/25,,Alpha Development,Behind Schedule,SME Time Needed,SAP S/4 HANA,R2R
Financial Accounting: General Ledger Account Reports,868e1aqzq,WBT,0.5,ISG,5/19/25,4/29/25,3/28/25,,Final Approval,Behind Schedule,SME Time Needed,SAP S/4 HANA,R2R
Tax Accounting: Manage Business Licenses,868byrptd,WBT,0.5,ISG,7/28/25,,8/22/25,,Not Started,On Track,,SAP S/4 HANA,R2R
Tax Accounting: Manage Global Tax Provision,868byu5ey,WBT,0.5,ISG,5/19/25,,6/13/25,,Not Started,Behind Schedule,Development not started,SAP S/4 HANA,R2R
Tax Accounting: Non-US VAT/GST/Other Indirect Tax Return Compliance & Reporting,868byue7e,WBT,0.5,ISG,7/28/25,,8/22/25,,Not Started,On Track,,SAP S/4 HANA,R2R
Tax Accounting: SAP/Vertex-Americas: US Sales/Use Tax Compliance/Report,868bzy4cu,WBT,0.5,ISG,5/19/25,5/5/25,6/13/25,,Alpha Development,On Track,System Access Needed,Vertex,R2R
Tax Accounting: US Federal Tax Provision: Year-End Tasks,868byukqg,WBT,0.5,ISG,6/2/25,,7/4/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,R2R
Tax Accounting: US Federal Tax Return,868byurfn,WBT,0.5,ISG,6/2/25,,7/4/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,R2R
Tax Accounting: US State Tax Provision: Year-End Tasks,868byuwnn,WBT,0.5,ISG,6/2/25,,7/4/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,R2R
Tax Accounting: US State Tax Return,868bzxqfm,WBT,0.5,ISG,6/2/25,,7/4/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,R2R
Tax Accounting: Vertex-Americas: Indirect Tax Determination Engine,868bzy7pa,WBT,0.5,ISG,7/28/25,,8/22/25,,Not Started,On Track,System Access Needed,Vertex,R2R
Tax Accounting: Vertex-RoW: Canadian GST Compliance and Reporting,868bzy0q4,WBT,0.5,ISG,7/28/25,,8/22/25,,Not Started,On Track,System Access Needed,Vertex,R2R
Tax Accounting: Vertex-RoW: Indirect Tax Determination Engine,868d4cvm3,ILT,1,ISG,7/28/25,,8/22/25,,Not Started,On Track,System Access Needed,Vertex,R2R
Tax Accounting: Vertex-RoW: Non-US VAT/GST/Other Indirect Tax Return Compl/Rptg,868bzxuhp,WBT,0.5,ISG,7/28/25,,8/22/25,,Not Started,On Track,System Access Needed,Vertex,R2R
IPASS Trace: Search for Part or End Item Maintenance History,868a2v66p,WBT,0.5,ISG,5/5/25,5/7/25,5/30/25,,Final Development,Behind Schedule,SME Time Needed,IPASS Trace,SUS
Obsolescence Management Introduction to CDATS,868dud951,WBT,0.5,ISG,5/5/25,5/5/25,5/30/25,,Final Development,Behind Schedule,SME Time Needed,Consolidated DMSMS Analysis Tool Suite (CDATS),SUS
Obsolescence Management Using CDATS Part 1,868a2uzkq,ILT,1,ISG,5/5/25,5/1/25,5/30/25,,Alpha Review,Behind Schedule,SME Time Needed,Consolidated DMSMS Analysis Tool Suite (CDATS),SUS
Obsolescence Management Using CDATS Part 2,868a2v25w,ILT,1,ISG,5/5/25,5/1/25,5/30/25,,Alpha Review,Behind Schedule,SME Time Needed,Consolidated DMSMS Analysis Tool Suite (CDATS),SUS
Obsolescence Management Using CDATS Part 3,868a2uy93,ILT,1,ISG,5/5/25,5/1/25,5/30/25,,Alpha Review,Behind Schedule,SME Time Needed,Consolidated DMSMS Analysis Tool Suite (CDATS),SUS
IPASS Analytics Composer: Create Custom Sus Analytics Reports,868a2v7kn,ILT,1,ISG,5/19/25,,6/13/25,,Not Started,Behind Schedule,Development not started,IPASS Analytics Composer,SUS
Obsolescence Management Spares Impacts,868a2uze7,WBT,0.5,ISG,5/26/25,,6/20/25,,Not Started,Behind Schedule,Development not started,Consolidated DMSMS Analysis Tool Suite (CDATS),SUS
Obsolescence Management Tech Refresh Plans/Roadmapping,868a2uztk,WBT,0.5,ISG,5/26/25,,6/20/25,,Not Started,Behind Schedule,Development not started,Consolidated DMSMS Analysis Tool Suite (CDATS),SUS
SCDS Introduction,868a2uyzh,WBT,0.5,ISG,5/26/25,,6/20/25,,Not Started,Behind Schedule,Development not started,Sustainment Capability Delivery System (SCDS),SUS
SCDS Theory & Tool Use,868a2uwuy,ILT,1,ISG,5/26/25,,6/20/25,,Not Started,Behind Schedule,Development not started,Sustainment Capability Delivery System (SCDS),SUS
SCDS: Tool Use: How to Ingest/Import Requirements from DOORS,868acmgwv,Video,0.1,ISG,5/26/25,,6/20/25,,Not Started,Behind Schedule,Development not started,Sustainment Capability Delivery System (SCDS),SUS
SCDS: Tool Use: Legacy Maturity Model,868acmhzz,Video,0.1,ISG,5/26/25,,6/20/25,,Not Started,Behind Schedule,Development not started,Sustainment Capability Delivery System (SCDS),SUS
SCDS: Tool Use: SCDS DCAM (or AIM) Model,868acmhk9,Video,0.1,ISG,5/26/25,,6/20/25,,Not Started,Behind Schedule,Development not started,Sustainment Capability Delivery System (SCDS),SUS
Perform Maintenance: Service Orders,868de38ea,WBT,0.5,ISG,7/28/25,,8/22/25,,Not Started,On Track,,SAP S/4 HANA,SUS
Perform Maintenance: Service Orders - EDE to AMS Interface,868de3f75,WBT,0.5,ISG,7/28/25,,8/22/25,,Not Started,On Track,,SAP S/4 HANA,SUS
Perform Maintenance: Service Orders - EDE to OASAS Interface,868de3hzk,WBT,0.5,ISG,7/28/25,,8/22/25,,Not Started,On Track,,SAP S/4 HANA,SUS
,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,#N/A